Year,Households,Type
1970,17626,Total
1970,11847,Under3
1970,5779,Over 3
1980,18552,Total
1980,13999,Under 3
1980,4553,Over 3
1990,18819,Total
1990,15107,Under 3
1990,3712,Over 3
2000,19011,Total
2000,15808,Under 3
2000,3203,Over 3
2010,18969,Total
2010,15572,Under 3
2010,3397,Over 3
